000018128,3,"AKRIL RAZREDIVAC",3000.74,.5
000018131,3,"BODY NITRO RAZREDIVAC",339.97,1
000018133,3,"BODI CEMENT GIT 1/1",1925.8,.6
000018139,3,"PAPIR CICAK OKRUGLI",114,10
000018140,3,"PAPIR ZA VELIKU RASPU",95.81,4
000018142,3,"SPRIC GIT 5+1 MM 1/1",4336.58,.6
000018143,3,"ZASTITNA TRAKA 25MM",455.61,2
000018144,3,"SUNDER ABRAZIVNI 3M",59.59,5
000018146,3,"PPS KIT 650",430,2
000018158,3,"FOLIJA CORCOS",5568.7,.1
000018160,3,"MM EXTRA LAK",3048.29,.65
000018161,3,"MM HERTER MM",2497.5,.8
000018170,3,"KRPA ZA ODMASCIVANJE",24.3,2
000018178,3,ASSYLEX,459,1
000077492,3,"AUTOCOLOR AQUABASE BOJA PLUS",12787.2,.6
000071823,3,"Servisna usluga - DDOR",2419.2,11.9
END_OF_SALE,0,0,0,0
PAY_CHEQUE,0,0,50694.84,0
PAY_DEBIT,0,0,0,0
PAY_CASH,0,0,0,0
END_OF_PAY,0,0,0,0
USER_NAME,0,"SYSTEM",0,0
FOOTER_4,0,"2016042101000024",0,0
